unique_transaction_id,transaction_status,obligatedamount,baseandexercisedoptionsvalue,baseandalloptionsvalue,maj_agency_cat,mod_agency,maj_fund_agency_cat,contractingofficeagencyid,contractingofficeid,fundingrequestingagencyid,fundingrequestingofficeid,fundedbyforeignentity,signeddate,effectivedate,currentcompletiondate,ultimatecompletiondate,lastdatetoorder,contractactiontype,reasonformodification,typeofcontractpricing,priceevaluationpercentdifference,subcontractplan,lettercontract,multiyearcontract,performancebasedservicecontract,majorprogramcode,contingencyhumanitarianpeacekeepingoperation,contractfinancing,costorpricingdata,costaccountingstandardsclause,descriptionofcontractrequirement,purchasecardaspaymentmethod,numberofactions,nationalinterestactioncode,progsourceagency,progsourceaccount,progsourcesubacct,account_title,rec_flag,typeofidc,multipleorsingleawardidc,programacronym,vendorname,vendoralternatename,vendorlegalorganizationname,vendordoingasbusinessname,divisionname,divisionnumberorofficecode,vendorenabled,vendorlocationdisableflag,ccrexception,streetaddress,streetaddress2,streetaddress3,city,state,zipcode,vendorcountrycode,vendor_state_code,vendor_cd,congressionaldistrict,vendorsitecode,vendoralternatesitecode,dunsnumber,parentdunsnumber,phoneno,faxno,registrationdate,renewaldate,mod_parent,locationcode,statecode,pop_state_code,placeofperformancecountrycode,placeofperformancezipcode,pop_cd,placeofperformancecongressionaldistrict,psc_cat,productorservicecode,systemequipmentcode,claimantprogramcode,principalnaicscode,informationtechnologycommercialitemcategory,gfe_gfp,useofepadesignatedproducts,recoveredmaterialclauses,seatransportation,contractbundling,consolidatedcontract,countryoforigin,placeofmanufacture,manufacturingorganizationtype,agencyid,piid,modnumber,transactionnumber,fiscal_year,idvagencyid,idvpiid,idvmodificationnumber,solicitationid,extentcompeted,reasonnotcompeted,numberofoffersreceived,commercialitemacquisitionprocedures,commercialitemtestprogram,smallbusinesscompetitivenessdemonstrationprogram,a76action,competitiveprocedures,solicitationprocedures,typeofsetaside,localareasetaside,evaluatedpreference,fedbizopps,research,statutoryexceptiontofairopportunity,organizationaltype,numberofemployees,annualrevenue,firm8aflag,hubzoneflag,sdbflag,issbacertifiedsmalldisadvantagedbusiness,shelteredworkshopflag,hbcuflag,educationalinstitutionflag,womenownedflag,veteranownedflag,srdvobflag,localgovernmentflag,minorityinstitutionflag,aiobflag,stategovernmentflag,federalgovernmentflag,minorityownedbusinessflag,apaobflag,tribalgovernmentflag,baobflag,naobflag,saaobflag,nonprofitorganizationflag,isothernotforprofitorganization,isforprofitorganization,isfoundation,haobflag,ishispanicservicinginstitution,emergingsmallbusinessflag,hospitalflag,contractingofficerbusinesssizedetermination,is1862landgrantcollege,is1890landgrantcollege,is1994landgrantcollege,isveterinarycollege,isveterinaryhospital,isprivateuniversityorcollege,isschoolofforestry,isstatecontrolledinstitutionofhigherlearning,isserviceprovider,receivescontracts,receivesgrants,receivescontractsandgrants,isairportauthority,iscouncilofgovernments,ishousingauthoritiespublicortribal,isinterstateentity,isplanningcommission,isportauthority,istransitauthority,issubchapterscorporation,islimitedliabilitycorporation,isforeignownedandlocated,isarchitectureandengineering,isdotcertifieddisadvantagedbusinessenterprise,iscitylocalgovernment,iscommunitydevelopedcorporationownedfirm,iscommunitydevelopmentcorporation,isconstructionfirm,ismanufacturerofgoods,iscorporateentitynottaxexempt,iscountylocalgovernment,isdomesticshelter,isfederalgovernmentagency,isfederallyfundedresearchanddevelopmentcorp,isforeigngovernment,isindiantribe,isintermunicipallocalgovernment,isinternationalorganization,islaborsurplusareafirm,islocalgovernmentowned,ismunicipalitylocalgovernment,isnativehawaiianownedorganizationorfirm,isotherbusinessororganization,isotherminorityowned,ispartnershiporlimitedliabilitypartnership,isschooldistrictlocalgovernment,issmallagriculturalcooperative,issoleproprietorship,istownshiplocalgovernment,istriballyownedfirm,istribalcollege,isalaskannativeownedcorporationorfirm,iscorporateentitytaxexempt,iswomenownedsmallbusiness,isecondisadvwomenownedsmallbusiness,isjointventurewomenownedsmallbusiness,isjointventureecondisadvwomenownedsmallbusiness,walshhealyact,servicecontractact,davisbaconact,clingercohenact,otherstatutoryauthority,interagencycontractingauthority
72cef33835b8ddd5c812f4d3efc91a88,active,9200.0,9200,9200,"1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF",AF200: AMERICAN EMBASSY - KABUL,"1900: STATE, DEPARTMENT OF",SCA: BUREAU OF SOUTH ASIAN AFFAIRS,Not Applicable,02/09/2011,02/15/2011,02/22/2011,02/25/2011,,PO Purchase Order,: ,J: Firm Fixed Price,,B: PLAN NOT REQUIRED ,A,: ,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,UNIFORM,N: No,1,NONE: NONE,19,0538,,,,,: ,,MISCELLANEOUS FOREIGN CONTRACTORS,FEDERAL EGOV IAE INITIATIVE - GENERIC DUNS,MISCELLANEOUS FOREIGN CONTRACTORS,,,,,,,2011 CRYSTAL DR STE 911,,,ARLINGTON,VA,222023732,UNITED STATES,VA,VA08,VA08,123456787,222023732,123456787,123456787,7036053406,7036053454,01/20/2005,01/03/2012,MISCELLANEOUS FOREIGN CONTRACTORS,,: ,: ,AFG: AFGHANISTAN,,ZZ,ZZ,75,7510: OFFICE SUPPLIES,: ,: ,448190: OTHER CLOTHING STORES,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,E: MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES,O: Other Foreign Entity (e.g. Foreign Government),"1900: STATE, DEPARTMENT OF",SAF20011M1702,0,0,2011,,,0,,F: COMPETED UNDER SAP,: ,3,A: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,N,,,OTHER,10,1000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
e16134ad28bc1d4bfe9cd4f3f2ac4657,active,3629.37,3629.37,3629.37,"1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF",SZ230: AMERICAN EMBASSY- BERN,"1900: STATE, DEPARTMENT OF",EUR: BUREAU OF EUROPEAN AND EURASIAN AFFAIRS,Not Applicable,09/22/2011,09/22/2011,09/26/2011,10/15/2011,,PO Purchase Order,: ,J: Firm Fixed Price,,B: PLAN NOT REQUIRED ,X,: ,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,PA - PROMOTION MATERIAL UMBRELLAS FULLBRIGHT,N: No,1,NONE: NONE,19,0113,000,,,,: ,,MISCELLANEOUS FOREIGN CONTRACTORS,FEDERAL EGOV IAE INITIATIVE - GENERIC DUNS,MISCELLANEOUS FOREIGN CONTRACTORS,,,,,,,2011 CRYSTAL DR STE 911,,,ARLINGTON,VA,222023732,UNITED STATES,VA,VA08,VA08,123456787,222023732,123456787,123456787,7036053406,7036053454,01/20/2005,01/03/2012,MISCELLANEOUS FOREIGN CONTRACTORS,,: ,: ,CHE: SWITZERLAND,,ZZ,ZZ,75,7510: OFFICE SUPPLIES,: ,: ,453210: OFFICE SUPPLIES AND STATIONERY STORES,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,E: MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES,C: Foreign-Owned Business Incorporated in the U.S.,"1900: STATE, DEPARTMENT OF",SSZ23011M0438,0,0,2011,,,0,,F: COMPETED UNDER SAP,: ,3,A: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,X,,,OTHER,10,1000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
c88530fd4d8edbbbc52b58c104bf9ebb,active,5695.61,5695.61,5695.61,"1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF",UK560: AMERICAN EMBASSY- LONDON,"1900: STATE, DEPARTMENT OF",EUR: BUREAU OF EUROPEAN AND EURASIAN AFFAIRS,Not Applicable,03/01/2011,03/01/2011,03/01/2012,03/01/2012,,PO Purchase Order,: ,J: Firm Fixed Price,,B: PLAN NOT REQUIRED ,X,: ,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,PHOTOCOPIER,N: No,1,NONE: NONE,28,8704,,,,,: ,,MISCELLANEOUS FOREIGN CONTRACTORS,FEDERAL EGOV IAE INITIATIVE - GENERIC DUNS,MISCELLANEOUS FOREIGN CONTRACTORS,,,,,,,2011 CRYSTAL DR STE 911,,,ARLINGTON,VA,222023732,UNITED STATES,VA,VA08,VA08,123456787,222023732,123456787,123456787,7036053406,7036053454,01/20/2005,01/03/2012,MISCELLANEOUS FOREIGN CONTRACTORS,,: ,: ,GBR: UNITED KINGDOM,,ZZ,ZZ,75,7510: OFFICE SUPPLIES,: ,: ,423420: OFFICE EQUIPMENT MERCHANT WHOLESALERS,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,E: MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES,D: Foreign-Owned Business Not Incorporated in the U.S.,"1900: STATE, DEPARTMENT OF",SUK56011M0680,0,0,2011,,,0,,F: COMPETED UNDER SAP,: ,3,A: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,X,,,OTHER,10,1000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
72518b00a70cd1f2471597a75d2c7e33,active,6139.74,6139.74,6139.74,"1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF","1900: STATE, DEPARTMENT OF",BU800: AMERICAN EMBASSY- SOFIA,"1900: STATE, DEPARTMENT OF",IRM: BUREAU OF INFORMATION RESOURCES MANAGEMENT,Not Applicable,05/31/2011,05/31/2011,05/31/2011,05/31/2011,,PO Purchase Order,: ,J: Firm Fixed Price,,B: PLAN NOT REQUIRED ,X,: ,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,PM - PRINT CARTRIDGE SUPPLIES TO RESTOCK THE SUPPLY ROOM.,N: No,1,NONE: NONE,19,4519,,,,,: ,,MISCELLANEOUS FOREIGN CONTRACTORS,FEDERAL EGOV IAE INITIATIVE - GENERIC DUNS,MISCELLANEOUS FOREIGN CONTRACTORS,,,,,,,2011 CRYSTAL DR STE 911,,,ARLINGTON,VA,222023732,UNITED STATES,VA,VA08,VA08,123456787,222023732,123456787,123456787,7036053406,7036053454,01/20/2005,01/03/2012,MISCELLANEOUS FOREIGN CONTRACTORS,,: ,: ,BGR: BULGARIA,10001000,ZZ,ZZ,75,7510: OFFICE SUPPLIES,: ,: ,453210: OFFICE SUPPLIES AND STATIONERY STORES,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,E: MFG OUTSIDE U.S. - USE OUTSIDE THE UNITED STATES,D: Foreign-Owned Business Not Incorporated in the U.S.,"1900: STATE, DEPARTMENT OF",SBU80011M1231,0,0,2011,,,0,,F: COMPETED UNDER SAP,: ,3,A: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,X,,,OTHER,10,1000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,O: OTHER THAN SMALL BUSINESS,N,N,N,N,N,N,N,N,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
17aac8e5f5eb7bbc20bd660181efcf5f,active,743.0,743,743,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4732: FEDERAL ACQUISITION SERVICE,CR000: GSA/FAS ADMIN SVCS ACQUISITION BR(2QSAA),2100: DEPT OF THE ARMY,W91EB8: 0003 HQ HQ     ARCENT BAGRAM 1,Not Applicable,07/13/2011,07/13/2011,08/15/2011,08/15/2011,,BPA Call Blanket Purchase Agreement,: ,J: Firm Fixed Price,,: ,X,N: No,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,CHALK CARPENTERS BLUE 2 1/2 BY 1.125 INCHES 72 PER BOX HEMISPHERICAL COLOR BLUE,N: No,1,NONE: NONE,97,4930,,,,,: ,,MCMASTER CARR SUPPLY COMPANY,,MCMASTER CARR SUPPLY COMPANY,MCMASTER CARR SUPPLY COMPANY,,,,,,600 COUNTY LINE RD,,,ELMHURST,IL,601262081,UNITED STATES,IL,IL06,IL06,0069313490000PR,601262081,006931349,006931349,,,,12/08/2004,MC MASTER-CARR SUPPLY COMPANY,,IL: ILLINOIS,IL: ILLINOIS,USA: UNITED STATES,601262081,IL06,IL06,75,7510: OFFICE SUPPLIES,: ,: ,422120: STATIONERY AND OFFICE SUPPLIES WHOLESALERS,: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,D: MFG IN U.S.,: ,4732: FEDERAL ACQUISITION SERVICE,GSNPNE9F3301,0,0,2011,4730,GS02F10748,0,,F: COMPETED UNDER SAP,: ,1,D: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,,,,,450,200000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
53afe32f19c5bef6e48d05781ec0b6f5,active,89.5,89.5,89.5,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4732: FEDERAL ACQUISITION SERVICE,CR000: GSA/FAS ADMIN SVCS ACQUISITION BR(2QSAA),2100: DEPT OF THE ARMY,W91HMC: 1430 EN CO     VERTICAL CONST,Not Applicable,08/01/2011,08/01/2011,09/03/2011,09/03/2011,,BPA Call Blanket Purchase Agreement,: ,J: Firm Fixed Price,,: ,X,N: No,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,"CHALK, LINE MARKING - P/N: 2159A21",N: No,1,NONE: NONE,21,2020,,,,,: ,,MCMASTER CARR SUPPLY COMPANY,,MCMASTER CARR SUPPLY COMPANY,MCMASTER CARR SUPPLY COMPANY,,,,,,600 COUNTY LINE RD,,,ELMHURST,IL,601262081,UNITED STATES,IL,IL06,IL06,0069313490000PR,601262081,006931349,006931349,,,,12/08/2004,MC MASTER-CARR SUPPLY COMPANY,,IL: ILLINOIS,IL: ILLINOIS,USA: UNITED STATES,601262081,IL06,IL06,75,7510: OFFICE SUPPLIES,: ,: ,422120: STATIONERY AND OFFICE SUPPLIES WHOLESALERS,: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,D: MFG IN U.S.,: ,4732: FEDERAL ACQUISITION SERVICE,GSNPNE9R5291,0,0,2011,4730,GS02F10748,0,,F: COMPETED UNDER SAP,: ,1,D: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,,,,,450,200000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
ed25f4c54168fe560840cfd30081056a,active,18.09,18.09,18.09,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4732: FEDERAL ACQUISITION SERVICE,CR000: GSA/FAS ADMIN SVCS ACQUISITION BR(2QSAA),1700: DEPT OF THE NAVY,M95314: COMMANDING OFFICER,Not Applicable,02/17/2011,02/17/2011,03/22/2011,03/22/2011,,BPA Call Blanket Purchase Agreement,: ,J: Firm Fixed Price,,: ,X,N: No,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,"TAPE,PRESSURE SENSI POC JEANINE HARRIS 212-264-6123",N: No,1,NONE: NONE,17,1106,,,,,: ,,MCMASTER CARR SUPPLY COMPANY,,MCMASTER CARR SUPPLY COMPANY,MCMASTER CARR SUPPLY COMPANY,,,,,,600 COUNTY LINE RD,,,ELMHURST,IL,601262081,UNITED STATES,IL,IL06,IL06,0069313490000PR,601262081,006931349,006931349,,,,12/08/2004,MC MASTER-CARR SUPPLY COMPANY,,IL: ILLINOIS,IL: ILLINOIS,USA: UNITED STATES,601262081,IL06,IL06,75,7510: OFFICE SUPPLIES,: ,: ,422120: STATIONERY AND OFFICE SUPPLIES WHOLESALERS,: NOT IT PRODUCTS OR SERVICES,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,D: MFG IN U.S.,: ,4732: FEDERAL ACQUISITION SERVICE,GSNPNE7M6601,0,0,2011,4730,GS02F10748,0,,F: COMPETED UNDER SAP,: ,1,D: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,,,,,450,200000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
53cced22add65f4020c7ab58bc4a5b92,active,3.58,3.58,0,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,9700: DEPT OF DEFENSE,4732: FEDERAL ACQUISITION SERVICE,CR000: GSA/FAS ADMIN SVCS ACQUISITION BR(2QSAA),2100: DEPT OF THE ARMY,W91WBY: 0003 HQ HQ     ARCENT TALLIL,Not Applicable,10/21/2010,10/21/2010,11/23/2010,,,BPA Call Blanket Purchase Agreement,: ,J: Firm Fixed Price,,: ,X,N: No,X: NOT APPLICABLE,,: ,: ,: ,X,"TAS::97 4930::TAS CHALK, LINE MARKING - P/N: 2159A21",N: No,1,NONE: NONE,97,4930,,,,,: ,,MCMASTER CARR SUPPLY COMPANY,,MCMASTER CARR SUPPLY COMPANY,MCMASTER CARR SUPPLY COMPANY,,,,,,600 COUNTY LINE RD,,,ELMHURST,IL,601262081,UNITED STATES,IL,IL06,IL06,0069313490000PR,601262081,006931349,006931349,,,,12/08/2004,MC MASTER-CARR SUPPLY COMPANY,,IL: ILLINOIS,IL: ILLINOIS,USA: UNITED STATES,601262081,IL06,IL06,75,7510: OFFICE SUPPLIES,: ,: ,422120: STATIONERY AND OFFICE SUPPLIES WHOLESALERS,: ,N: Transaction does not use GFE/GFP,: ,: ,: ,D: NOT A BUNDLED REQUIREMENT,N: No,: ,: ,: ,4732: FEDERAL ACQUISITION SERVICE,GSNPNE6N3691,0,0,2011,4730,GS02F10748,0,,F: COMPETED UNDER SAP,: ,0,D: ,N: No,N: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,X,,,,450,200000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
babf357f64000940535b8e356c499651,active,2811.15,2811.15,2811.15,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,CR000: GSA/FAS ADMIN SVCS ACQUISITION BR(2QSAA),4732: FEDERAL ACQUISITION SERVICE,4730AA: FAS,Not Applicable,09/19/2011,09/19/2011,10/22/2011,10/22/2011,,BPA Call Blanket Purchase Agreement,: ,J: Firm Fixed Price,,: ,X,N: No,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,"STAPLER, PAPER FASTENING: STAPLER, PAPER FASTENI NG: ELECTRIC, FOR STAPLING UP TO 80 SHEETS. INTE RMEDIATE PKG: 3 STAPLERS PER BOX. (PARTIAL DESCR IPTION)",N: No,1,NONE: NONE,47,4534,001,,,,: ,,"SUMMIT TRAVELWARE, INC.",CAMPUS DEPOT,"SUMMIT TRAVELWARE, INC.",,,,,,,8525 TELFAIR AVE,,,SUN VALLEY,CA,913523928,UNITED STATES,CA,CA28,CA28,193567856,913523928,193567856,193567856,,,09/25/2001,12/20/2008,SUMMIT TRAVELWARE  INC.,,CA: CALIFORNIA,CA: CALIFORNIA,USA: UNITED STATES,913523928,CA28,CA28,75,7510: OFFICE SUPPLIES,: ,: ,453210: OFFICE SUPPLIES AND STATIONERY STORES,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,USA: UNITED STATES,D: MFG IN U.S.,A: U.S. Owned Business,4732: FEDERAL ACQUISITION SERVICE,GSNWN1AJWJ,0,0,2011,4730,GS02FSUMMM,0,,F: COMPETED UNDER SAP,: ,2,D: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,,,,CORPORATE NOT TAX EXEMPT,18,7799110,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,N: No,N: No,,X: Not Applicable
87b0e0924c5ea0ec653f207465075f04,active,348.5,348.5,348.5,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,4700: GENERAL SERVICES ADMINISTRATION,4732: FEDERAL ACQUISITION SERVICE,CR000: GSA/FAS ADMIN SVCS ACQUISITION BR(2QSAA),4732: FEDERAL ACQUISITION SERVICE,4730AA: FAS,Not Applicable,09/16/2011,09/16/2011,09/29/2011,09/29/2011,,BPA Call Blanket Purchase Agreement,: ,A: Fixed Price Redetermination,,: ,X,N: No,X: NOT APPLICABLE,,X: NOT APPLICABLE,: ,: ,,"BINDING ELEMENT, PLASTIC-ONE-PIECE, BLACK, CAPA- CITY RATING - 170 SHEETS, LENGTH - 11.000 INCHES NOMINAL, DIAMETER - .750 INCHES NOMINAL, RING QUANTITY - 19, 25/BOX, P/N 4090052",N: No,1,NONE: NONE,47,4534,001,,,,: ,,"SUMMIT TRAVELWARE, INC.",CAMPUS DEPOT,"SUMMIT TRAVELWARE, INC.",,,,,,,8525 TELFAIR AVE,,,SUN VALLEY,CA,913523928,UNITED STATES,CA,CA28,CA28,193567856,913523928,193567856,193567856,,,09/25/2001,12/20/2008,SUMMIT TRAVELWARE  INC.,,CA: CALIFORNIA,CA: CALIFORNIA,USA: UNITED STATES,913523928,CA28,CA28,75,7510: OFFICE SUPPLIES,: ,: ,453210: OFFICE SUPPLIES AND STATIONERY STORES,: ,N: Transaction does not use GFE/GFP,E: NOT REQUIRED,C: NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,: ,D: NOT A BUNDLED REQUIREMENT,N: No,USA: UNITED STATES,D: MFG IN U.S.,: ,4732: FEDERAL ACQUISITION SERVICE,GSSWN1AJT4,0,0,2011,4730,GS02FSUMTR,0,,F: COMPETED UNDER SAP,: ,3,D: ,N: No,: NO,No,,SP1: SIMPLIFIED ACQUISITION,NONE: NO SET ASIDE USED.,N,NONE: NO PREFERENCE USED,,,,CORPORATE NOT TAX EXEMPT,18,7799110,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,S: SMALL BUSINESS,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,X: Not Applicable,X: Not Applicable,X: Not Applicable,N: No,,X: Not Applicable
